400
x1,x2,Class
Nominal,Nominal,Nominal
+,+,-
-,-,-
-,+,+
+,-,+
+,+,-
+,+,-
-,+,+
+,-,+
-,+,+
+,+,-
-,-,-
-,-,-
+,+,-
-,+,+
-,+,+
+,+,-
-,+,+
+,-,+
-,-,-
+,-,+
-,+,+
+,-,+
-,+,+
-,-,-
+,+,-
-,+,+
-,+,+
+,+,-
-,-,-
-,-,-
+,-,+
-,+,+
+,-,+
-,-,-
+,-,+
-,-,-
-,+,+
+,+,-
-,-,-
-,-,-
-,-,-
-,+,+
+,+,-
+,-,+
+,-,+
-,+,+
-,+,+
-,+,+
+,+,-
-,-,-
-,-,-
+,-,+
-,+,+
+,+,-
-,-,-
-,-,-
+,-,+
+,-,+
+,+,-
-,-,-
-,-,-
-,-,-
+,+,-
-,-,-
+,-,+
+,-,+
-,-,-
+,-,+
-,-,-
-,+,+
-,+,+
-,+,+
-,-,-
-,+,+
+,-,+
-,+,+
+,+,-
+,+,-
+,-,+
-,-,-
+,+,-
-,+,+
+,-,+
+,-,+
+,-,+
+,-,+
-,-,-
+,+,-
-,-,-
+,-,+
+,+,-
+,+,-
+,+,-
+,-,+
+,+,-
-,+,+
+,-,+
-,-,-
+,-,+
+,-,+
-,-,-
+,+,-
+,-,+
-,+,+
+,-,+
+,-,+
+,+,-
+,-,+
-,-,-
+,-,+
+,+,-
-,+,+
+,-,+
-,+,+
+,-,+
+,-,+
-,+,+
-,-,-
-,+,+
+,-,+
+,+,-
-,-,-
-,+,+
-,+,+
+,+,-
-,+,+
-,-,-
+,-,+
-,+,+
+,-,+
+,+,-
+,+,-
-,-,-
+,-,+
-,-,-
+,+,-
+,+,-
-,-,-
-,-,-
+,-,+
-,+,+
-,+,+
+,-,+
-,-,-
+,+,-
-,+,+
-,-,-
+,+,-
-,-,-
+,+,-
+,+,-
-,-,-
-,-,-
+,-,+
+,+,-
-,-,-
-,+,+
-,-,-
-,+,+
+,+,-
-,-,-
-,+,+
-,-,-
-,-,-
-,+,+
-,-,-
+,+,-
+,+,-
+,-,+
-,+,+
+,+,-
+,+,-
+,+,-
+,+,-
-,+,+
-,+,+
-,-,-
-,+,+
-,-,-
-,-,-
+,+,-
+,-,+
-,-,-
+,+,-
+,+,-
+,-,+
-,-,-
+,+,-
+,+,-
+,+,-
-,+,+
+,-,+
-,-,-
+,+,-
-,-,-
+,-,+
+,+,-
-,+,+
+,+,-
-,+,+
-,-,-
-,+,+
-,+,+
+,+,-
-,+,+
-,+,+
+,+,-
+,+,-
-,-,-
+,-,+
-,+,+
+,+,-
-,+,+
+,+,-
+,+,-
+,+,-
-,-,-
-,+,+
-,+,+
-,-,-
-,+,+
-,+,+
+,-,+
-,-,-
-,-,-
-,+,+
-,+,+
+,-,+
-,+,+
+,-,+
+,-,+
+,+,-
+,-,+
-,-,-
+,-,+
+,+,-
-,-,-
+,+,-
+,-,+
-,+,+
-,-,-
+,-,+
+,-,+
-,+,+
-,-,-
-,-,-
+,+,-
+,+,-
-,-,-
+,-,+
-,+,+
+,+,-
+,+,-
+,+,-
+,-,+
+,+,-
-,+,+
+,-,+
-,+,+
+,-,+
-,-,-
-,+,+
+,+,-
-,-,-
+,-,+
-,+,+
+,+,-
-,+,+
-,-,-
+,+,-
-,-,-
+,-,+
-,-,-
-,-,-
+,-,+
+,-,+
-,+,+
-,+,+
-,+,+
-,-,-
+,+,-
+,-,+
-,+,+
-,+,+
-,+,+
-,-,-
+,-,+
-,-,-
+,-,+
-,+,+
+,-,+
+,+,-
-,-,-
+,+,-
-,-,-
+,-,+
-,+,+
+,+,-
-,-,-
+,-,+
+,-,+
-,-,-
-,-,-
-,+,+
+,-,+
+,+,-
+,-,+
+,+,-
+,+,-
-,+,+
+,+,-
-,-,-
+,+,-
-,-,-
+,-,+
+,+,-
+,-,+
-,+,+
-,+,+
+,+,-
+,+,-
+,-,+
-,-,-
+,-,+
-,+,+
+,-,+
+,-,+
+,-,+
-,+,+
-,-,-
-,-,-
-,-,-
+,-,+
-,+,+
+,+,-
+,+,-
-,+,+
-,-,-
+,-,+
-,-,-
-,+,+
-,+,+
-,-,-
+,-,+
+,+,-
-,+,+
+,-,+
+,+,-
-,+,+
-,+,+
-,-,-
+,-,+
-,+,+
+,-,+
-,+,+
-,+,+
-,-,-
-,+,+
-,-,-
-,-,-
+,-,+
+,-,+
-,+,+
+,+,-
-,+,+
-,+,+
+,-,+
+,-,+
-,-,-
+,+,-
-,+,+
+,-,+
+,+,-
+,+,-
-,-,-
+,-,+
-,-,-
+,-,+
+,+,-
+,+,-
-,+,+
-,-,-
+,+,-
-,+,+
+,+,-
+,-,+
+,+,-
+,-,+
+,-,+
-,-,-
+,-,+
+,-,+
-,-,-
+,-,+
+,+,-
-,-,-
+,+,-
+,+,-
-,+,+
+,+,-
